# omega0=2, alpha=0.20
# theta0=-0.80, theta_dot0=0.12
# t_start=0.10, t_end=100.00, h=0.01
#   t          x(t)                 v(t)       
3.405336675610393e+01 1.227200370698911e-01 7.161385017668595e-02
3.417419724278048e+01 1.304793636558119e-01 5.727771764133713e-02
3.429502772945703e+01 1.366829734256844e-01 4.594240795227980e-02
3.441585821613359e+01 1.417177216071908e-01 3.797300745152039e-02
3.453668870281014e+01 1.460011251806758e-01 3.351067583239023e-02
3.465751918948669e+01 1.499541085998785e-01 3.247155525315539e-02
3.477834967616324e+01 1.539743953383338e-01 3.455844954142139e-02
3.489918016283980e+01 1.584120383105633e-01 3.928433801093886e-02
3.502001064951635e+01 1.635484305692689e-01 4.600615638261923e-02
3.514084113619290e+01 1.695799131381425e-01 5.396671034689057e-02
3.526167162286946e+01 1.766068100208292e-01 6.234213078448440e-02
3.538250210954601e+01 1.846283871850442e-01 7.029197370665956e-02
3.550333259622256e+01 1.935438727617961e-01 7.700894226682518e-02
3.562416308289912e+01 2.031593127769621e-01 8.176528002647009e-02
3.574499356957567e+01 2.131996946829542e-01 8.395315768537194e-02
3.586582405625222e+01 2.233254735138541e-01 8.311683712040208e-02
3.598665454292878e+01 2.331524036916067e-01 7.897501433170881e-02
3.610748502960533e+01 2.422734291629323e-01 7.143246248373403e-02
3.622831551628188e+01 2.502813237060019e-01 6.058084498245085e-02
3.634914600295843e+01 2.567908005785435e-01 4.668926596686704e-02
3.646997648963499e+01 2.614589154506970e-01 3.018569952626995e-02
3.659080697631154e+01 2.640027506808118e-01 1.163084222940635e-02
3.671163746298809e+01 2.642135707766178e-01 -8.313844800867706e-03
3.683246794966465e+01 2.619668576293798e-01 -2.892207188527663e-02
3.695329843634120e+01 2.572278540346772e-01 -4.944083892966288e-02
3.707412892301775e+01 2.500524564444609e-01 -6.912901759587012e-02
3.719495940969431e+01 2.405835010165698e-01 -8.729474945216086e-02
3.731578989637086e+01 2.290426833865233e-01 -1.033300532410070e-01
3.743662038304741e+01 2.157185452234925e-01 -1.167410597057714e-01
3.755745086972397e+01 2.009511491784396e-01 -1.271723434537907e-01
3.767828135640052e+01 1.851142418977508e-01 -1.344239529709118e-01
3.779911184307707e+01 1.685958595584789e-01 -1.384599999498661e-01
3.791994232975362e+01 1.517784446979183e-01 -1.394080796574232e-01
3.804077281643018e+01 1.350195992567277e-01 -1.375493407484538e-01
3.816160330310673e+01 1.186345830013154e-01 -1.332996554463539e-01
3.828243378978328e+01 1.028815728156251e-01 -1.271829847239132e-01
3.840326427645984e+01 8.795053031502677e-02 -1.197986073231351e-01
3.852409476313639e+01 7.395629556418966e-02 -1.117843178782177e-01
3.864492524981294e+01 6.093625290859180e-02 -1.037779551836827e-01
3.876575573648950e+01 4.885262397254580e-02 -9.637968358690294e-02
3.888658622316605e+01 3.759915561685580e-02 -9.011733117415589e-02
3.900741670984260e+01 2.701170731993354e-02 -8.541681745101375e-02
3.912824719651915e+01 1.688201916759893e-02 -8.257931762177981e-02
3.924907768319571e+01 6.973769984838301e-03 -8.176634762511482e-02
3.936990816987226e+01 -2.960077623022356e-03 -8.299344761805721e-02
3.949073865654881e+01 -1.315969900136488e-02 -8.613262118701732e-02
3.961156914322537e+01 -2.384163767446702e-02 -9.092317907708215e-02
3.973239962990192e+01 -3.518381428513245e-02 -9.699016256888301e-02
3.985323011657847e+01 -4.731315885565926e-02 -1.038691031108243e-01
3.997406060325503e+01 -6.029653905335319e-02 -1.110355294300578e-01
4.009489108993158e+01 -7.413544872187415e-02 -1.179373772167774e-01
4.021572157660813e+01 -8.876468771021592e-02 -1.240283043391705e-01
4.033655206328469e+01 -1.040550193782537e-01 -1.287998796244276e-01
4.045738254996124e+01 -1.198195509011406e-01 -1.318107056507448e-01
4.057821303663779e+01 -1.358233593261061e-01 -1.327107593637841e-01
4.069904352331434e+01 -1.517956987695447e-01 -1.312595813634337e-01
4.081987400999090e+01 -1.674439849557811e-01 -1.273373934708606e-01
4.094070449666745e+01 -1.824686726702610e-01 -1.209487372642146e-01
4.106153498334400e+01 -1.965781245034851e-01 -1.122187542496463e-01
4.118236547002056e+01 -2.095026140489300e-01 -1.013827175307228e-01
4.130319595669711e+01 -2.210067058002625e-01 -8.876982738268063e-02
4.142402644337366e+01 -2.308993947344176e-01 -7.478256633423636e-02
4.154485693005022e+01 -2.390415556081131e-01 -5.987306133202896e-02
4.166568741672677e+01 -2.453504298363754e-01 -4.451793041632523e-02
4.178651790340332e+01 -2.498010530939325e-01 -2.919302402188902e-02
4.190734839007987e+01 -2.524246896669498e-01 -1.434933882088214e-02
4.202817887675643e+01 -2.533044841493106e-01 -3.912155285121914e-04
4.214900936343298e+01 -2.525686646188910e-01 1.234224670262869e-02
4.226983985010953e+01 -2.503817332041697e-01 2.359180740205559e-02
4.239067033678609e+01 -2.469341598029674e-01 3.318816439996905e-02
4.251150082346264e+01 -2.424311520194492e-01 4.105711860019361e-02
4.263233131013919e+01 -2.370811076090756e-01 4.721965451081218e-02
4.275316179681575e+01 -2.310843626359816e-01 5.178699464670171e-02
4.287399228349230e+01 -2.246228269528069e-01 5.495092894079746e-02
4.299482277016885e+01 -2.178510472813870e-01 5.696996691770431e-02
4.311565325684541e+01 -2.108891577063078e-01 5.815209269663604e-02
4.323648374352196e+01 -2.038180707481377e-01 5.883510049035691e-02
4.335731423019851e+01 -1.966771347346398e-01 5.936563214804091e-02
4.347814471687506e+01 -1.894643423500391e-01 6.007811418624816e-02
4.359897520355162e+01 -1.821390297533911e-01 6.127479221917748e-02
4.371980569022817e+01 -1.746268647045667e-01 6.320798575050934e-02
4.384063617690472e+01 -1.668267944819062e-01 6.606554276600549e-02
4.396146666358128e+01 -1.586195176144633e-01 6.996027363069177e-02
4.408229715025783e+01 -1.498769634858035e-01 7.492390297159478e-02
4.420312763693438e+01 -1.404722146214652e-01 8.090581336853288e-02
4.432395812361094e+01 -1.302892898509593e-01 8.777658215365050e-02
4.444478861028749e+01 -1.192322225605279e-01 9.533604700459210e-02
4.456561909696404e+01 -1.072329153325203e-01 1.033253894292675e-01
4.468644958364060e+01 -9.425732748971610e-02 1.114425074741637e-01
4.480728007031715e+01 -8.030965143851433e-02 1.193597682634104e-01
4.492811055699370e+01 -6.543425229266296e-02 1.267430949891788e-01
4.504894104367025e+01 -4.971527717629591e-02 1.332712597008107e-01
4.516977153034681e+01 -3.327397898253571e-02 1.386542309386945e-01
4.529060201702336e+01 -1.626393636867879e-02 1.426494713456154e-01
4.541143250369991e+01 1.135521172128536e-03 1.450751992713492e-01
4.553226299037647e+01 1.872726600093372e-02 1.458198188343299e-01
4.565309347705302e+01 3.630520422482130e-02 1.448469758743622e-01
4.577392396372957e+01 5.366344033079874e-02 1.421959951128991e-01
4.589475445040613e+01 7.060521768263399e-02 1.379777717222307e-01
4.601558493708268e+01 8.695110574946630e-02 1.323664994337601e-01
4.613641542375923e+01 1.025459680177173e-01 1.255878887946939e-01
4.625724591043578e+01 1.172643369427672e-01 1.179047397708429e-01
4.637807639711234e+01 1.310139356664450e-01 1.096008676411489e-01
4.649890688378889e+01 1.437372109943219e-01 1.009644350385896e-01
4.661973737046544e+01 1.554108686990530e-01 9.227172032372084e-02
4.674056785714200e+01 1.660435219597479e-01 8.377226439120282e-02
4.686139834381855e+01 1.756716696376809e-01 7.567619942560071e-02
4.698222883049510e+01 1.843543079776542e-01 6.814438975047002e-02
4.710305931717166e+01 1.921665438982813e-01 6.128182114591768e-02
4.722388980384821e+01 1.991926185841031e-01 5.513447293795581e-02
4.734472029052476e+01 2.055187662275865e-01 4.968970659403874e-02
4.746555077720132e+01 2.112263251750849e-01 4.488001361477217e-02
4.758638126387787e+01 2.163854890101639e-01 4.058979135929104e-02
4.770721175055442e+01 2.210500356977448e-01 3.666466478404592e-02
4.782804223723097e+01 2.252533070381403e-01 3.292275121559080e-02
4.794887272390753e+01 2.290056322877045e-01 2.916717977056449e-02
