# m=1, k=39.4784, p=2
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001, b= 8
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
8.9200  -1.457854152667275e-01  -6.664417152595855e-01  2.220722799190692e-01  4.195250497569457e-01
8.9300  -1.523768739427313e-01  -6.517417029041478e-01  2.123836236521992e-01  4.583189986117949e-01
8.9400  -1.588181074597109e-01  -6.363991520950196e-01  2.025019403936300e-01  4.978858388808751e-01
8.9500  -1.651027655408537e-01  -6.204291887307408e-01  1.924661891145426e-01  5.380695765549220e-01
8.9600  -1.712246522737798e-01  -6.038475572627097e-01  1.823159362060707e-01  5.787117854795001e-01
8.9700  -1.771777322189624e-01  -5.866706051730587e-01  1.720911994870614e-01  6.196522319570892e-01
8.9800  -1.829561363599405e-01  -5.689152668580152e-01  1.618322904320633e-01  6.607295064754894e-01
8.9900  -1.885541678894589e-01  -5.505990469326355e-01  1.515796552415633e-01  7.017816600719279e-01
9.0000  -1.939663078258311e-01  -5.317400029733738e-01  1.413737153810618e-01  7.426468428239733e-01
9.0100  -1.991872204539873e-01  -5.123567277154953e-01  1.312547082176651e-01  7.831639419499761e-01
9.0200  -2.042117585858435e-01  -4.924683307228906e-01  1.212625283824952e-01  8.231732170033033e-01
9.0300  -2.090349686348065e-01  -4.720944195483573e-01  1.114365704843502e-01  8.625169296560804e-01
9.0400  -2.136520954994107e-01  -4.512550804029254e-01  1.018155737947253e-01  9.010399655894916e-01
9.0500  -2.180585872512727e-01  -4.299708583532845e-01  9.243746951653013e-02  9.385904460388080e-01
9.0600  -2.222500996227420e-01  -4.082627370668334e-01  8.333923123865118e-02  9.750203265821035e-01
9.0700  -2.262225002898230e-01  -3.861521181243239e-01  7.455672916595089e-02  1.010185980811903e+00
9.0800  -2.299718729461468e-01  -3.636607999204912e-01  6.612458869940577e-02  1.043948766588618e+00
9.0900  -2.334945211639747e-01  -3.408109561734755e-01  5.807605392393930e-02  1.076175572643279e+00
9.1000  -2.367869720384296e-01  -3.176251140642177e-01  5.044285654215366e-02  1.106739343374580e+00
9.1100  -2.398459796113592e-01  -2.941261320273862e-01  4.325509077069573e-02  1.135519579771171e+00
9.1200  -2.426685280714581e-01  -2.703371772157258e-01  3.654109469248337e-02  1.162402814484321e+00
9.1300  -2.452518347274932e-01  -2.462817026600483e-01  3.032733853256622e-02  1.187283059177926e+00
9.1400  -2.475933527516999e-01  -2.219834241473823e-01  2.463832029809831e-02  1.210062222392199e+00
9.1500  -2.496907736906467e-01  -1.974662968400772e-01  1.949646919386673e-02  1.230650496273560e+00
9.1600  -2.515420297410907e-01  -1.727544916589115e-01  1.492205719416446e-02  1.248966710646055e+00
9.1700  -2.531452957885812e-01  -1.478723714534901e-01  1.093311911963947e-02  1.264938653028347e+00
9.1800  -2.544989912068021e-01  -1.228444669834221e-01  7.545381534220542e-03  1.278503353334602e+00
9.1900  -2.556017814158776e-01  -9.769545273396113e-02  4.772200742446817e-03  1.289607332136822e+00
9.2000  -2.564525791981071e-01  -7.245012258994779e-02  2.624510131649231e-03  1.298206811509845e+00
9.2100  -2.570505457698298e-01  -4.713336539203995e-02  1.110777066589775e-03  1.304267887627745e+00
9.2200  -2.573950916083643e-01  -2.177014039932743e-02  2.369695065032142e-04  1.307766664431155e+00
9.2300  -2.574858770332064e-01  3.614547317477293e-03  6.532476155141148e-06  1.308689347838530e+00
9.2400  -2.573228125409127e-01  2.899567152801294e-02  4.203744836802101e-04  1.307032300129926e+00
9.2500  -2.569060588933404e-01  5.434820951510400e-02  1.476863938748821e-03  1.302802054288865e+00
9.2600  -2.562360269591563e-01  7.964716674413225e-02  3.171835585183803e-03  1.296015288245770e+00
9.2700  -2.553133773087688e-01  1.048676015046234e-01  5.498606922666248e-03  1.286698759124479e+00
9.2800  -2.541390195630858e-01  1.299846494997552e-01  8.448004552787106e-03  1.274889197751111e+00
9.2900  -2.527141114967392e-01  1.549735483595455e-01  1.200840034557419e-02  1.260633163841172e+00
9.3000  -2.510400578966582e-01  1.798096620535529e-01  1.616575728390645e-02  1.243986862435817e+00
9.3100  -2.491185091771202e-01  2.044685051790210e-01  2.090368480507167e-02  1.225015922311012e+00
9.3200  -2.469513597526417e-01  2.289257671005231e-01  2.620350342128148e-02  1.203795137233191e+00
9.3300  -2.445407461703147e-01  2.531573359173071e-01  3.204431836437414e-02  1.180408171081538e+00
9.3400  -2.418890450034301e-01  2.771393222347115e-01  3.840310196435762e-02  1.154947227999466e+00
9.3500  -2.389988705084636e-01  3.008480827162178e-01  4.525478443701211e-02  1.127512688875718e+00
9.3600  -2.358730720477357e-01  3.242602433929195e-01  5.257235272261769e-02  1.098212715588300e+00
9.3700  -2.325147312802849e-01  3.473527227074271e-01  6.032695698613138e-02  1.067162824571513e+00
9.3800  -2.289271591237248e-01  3.701027542694906e-01  6.848802435893148e-02  1.034485431387328e+00
9.3900  -2.251138924900801e-01  3.924879093009049e-01  7.702337947369767e-02  1.000309368096642e+00
9.4000  -2.210786907988192e-01  4.144861187475717e-01  8.589937131721305e-02  9.647693753332116e-01
9.4100  -2.168255322705217e-01  4.360756950369162e-01  9.508100590096479e-02  9.280055710827722e-01
9.4200  -2.123586100048341e-01  4.572353534592090e-01  1.045320842264839e-01  8.901628982617110e-01
9.4300  -2.076823278465810e-01  4.779442331517147e-01  1.142153450014903e-01  8.513905532732401e-01
9.4400  -2.028012960441072e-01  4.981819176649780e-01  1.240926115441775e-01  8.118413977940112e-01
9.4500  -1.977203267041304e-01  5.179284550909721e-01  1.341249422964605e-01  7.716713561102265e-01
9.4600  -1.924444290475864e-01  5.371643777332662e-01  1.442727843527835e-01  7.310388003792769e-01
9.4700  -1.869788044711435e-01  5.558707212998183e-01  1.544961293991901e-01  6.901039262405416e-01
9.4800  -1.813288414192548e-01  5.740290435994722e-01  1.647546714478623e-01  6.490281212370291e-01
9.4900  -1.755001100718037e-01  5.916214427237262e-01  1.750079657452516e-01  6.079733285378853e-01
9.5000  -1.694983568525811e-01  6.086305746958489e-01  1.852155882272997e-01  5.671014084703211e-01
9.5100  -1.633294987640061e-01  6.250396705699417e-01  1.953372948930906e-01  5.265735003781480e-01
9.5200  -1.569996175536787e-01  6.408325529630897e-01  2.053331804685956e-01  4.865493873228240e-01
9.5300  -1.505149537185116e-01  6.559936520043043e-01  2.151638357349721e-01  4.471868661316991e-01
9.5400  -1.438819003523560e-01  6.705080206845314e-01  2.247905029011440e-01  4.086411252770800e-01
9.5500  -1.371069968431842e-01  6.843613495925940e-01  2.341752284080983e-01  3.710641330388466e-01
9.5600  -1.301969224260449e-01  6.975399810225393e-01  2.432810125624623e-01  3.346040383628201e-01
9.5700  -1.231584895981455e-01  7.100309224384862e-01  2.520719554094238e-01  2.994045867770232e-01
9.5800  -1.159986374025538e-01  7.218218592836908e-01  2.605133982698822e-01  2.656045536686092e-01
9.5900  -1.087244245871418e-01  7.329011671212106e-01  2.685720603838163e-01  2.333371971557901e-01
9.6000  -1.013430226455141e-01  7.432579230941929e-01  2.762161701211466e-01  2.027297327118396e-01
9.6100  -9.386170874678305e-02  7.528819166944896e-01  2.834155902427842e-01  1.739028316124921e-01
9.6200  -8.628785856116075e-02  7.617636598289818e-01  2.901419367180223e-01  1.469701451841249e-01
9.6300  -7.862893898844057e-02  7.698943961736930e-01  2.963686906298277e-01  1.220378567284029e-01
9.6400  -7.089250079653757e-02  7.772661098064646e-01  3.020713027268375e-01  9.920426288993797e-02
9.6500  -6.308617117734502e-02  7.838715331096838e-01  3.072272902098631e-01  7.855938611744095e-02
9.6600  -5.521764622724619e-02  7.897041539352769e-01  3.118163253713158e-01  6.018461974625559e-02
9.6700  -4.729468335969448e-02  7.947582220248985e-01  3.158203157380889e-01  4.415240710155116e-02
9.6800  -3.932509365734253e-02  7.990287546789904e-01  3.192234754019291e-01  3.052595588732465e-02
9.6900  -3.131673417125993e-02  8.025115416691202e-01  3.220123872560740e-01  1.935898898724573e-02
9.7000  -2.327750017483162e-02  8.052031493887578e-01  3.241760558927871e-01  1.069553265982324e-02
9.7100  -1.521531737997369e-02  8.071009242383953e-01  3.257059509532360e-01  4.569742962943298e-03
9.7200  -7.138134123340517e-03  8.082029952416750e-01  3.265960407588075e-01  1.005771092107677e-03
9.7300  9.460864697733657e-04  8.085082758899460e-01  3.268428160912665e-01  1.766816328257370e-05
9.7400  9.029374336111229e-03  8.080164652134306e-01  3.264453040280036e-01  1.609329815755456e-03
9.7500  1.710376033197208e-02  8.067280480779430e-01  3.254050717778239e-01  5.774480853405711e-03
9.7600  2.516128408982202e-02  8.046442947068709e-01  3.237262205021589e-01  1.249669998494154e-02
9.7700  3.319400186625339e-02  8.017672594288899e-01  3.214153691460565e-01  2.174948456556366e-02
9.7800  4.119399437355450e-02  7.980997786526420e-01  3.184816283426981e-01  3.349635508480893e-02
9.7900  4.915337458716904e-02  7.936454680703813e-01  3.149365644943273e-01  4.769099898862591e-02
9.8000  5.706429552134789e-02  7.884087190933388e-01  3.107941541711996e-01  6.427745326865768e-02
9.8100  6.491895796532754e-02  7.823946945223221e-01  3.060707290083389e-01  8.319032509886545e-02
9.8200  7.270961817240815e-02  7.756093234578186e-01  3.007849113173476e-01  1.043550496496234e-01
9.8300  8.042859549435070e-02  7.680592954546197e-01  2.949575406671234e-01  1.276881840628414e-01
9.8400  8.806827995356685e-02  7.597520539267297e-01  2.886115917229422e-01  1.530977364291058e-01
9.8500  9.562113974563582e-02  7.506957888090600e-01  2.817720836678284e-01  1.804835284698309e-01
9.8600  1.030797286647523e-01  7.408994284831439e-01  2.744659815633246e-01  2.097375904945320e-01
9.8700  1.104366934447843e-01  7.303726309748338e-01  2.667220900385504e-01  2.407445870760823e-01
9.8800  1.176847810087035e-01  7.191257744326557e-01  2.585709397266834e-01  2.733822717657102e-01
9.8900  1.248168456192422e-01  7.071699468962108e-01  2.500446668965948e-01  3.075219690550049e-01
9.9000  1.318258559237246e-01  6.945169353647099e-01  2.411768867541943e-01  3.430290816847713e-01
9.9100  1.387049018861307e-01  6.811792141764190e-01  2.320025609130019e-01  3.797636213006489e-01
9.9200  1.454472015995547e-01  6.671699327104704e-01  2.225578595564468e-01  4.175807603633599e-01
9.9300  1.520461079723456e-01  6.525029024231672e-01  2.128800188353286e-01  4.563314031376582e-01
9.9400  1.584951152813341e-01  6.371925832315581e-01  2.030071940626531e-01  4.958627735088266e-01
9.9500  1.647878655856893e-01  6.212540692577087e-01  1.929783092846309e-01  5.360190173092346e-01
9.9600  1.709181549950785e-01  6.047030739477237e-01  1.828329038209131e-01  5.766418167802535e-01
9.9700  1.768799397859527e-01  5.875559145801907e-01  1.726109763790822e-01  6.175710147469884e-01
9.9800  1.826673423599263e-01  5.698294961793182e-01  1.623528273579878e-01  6.586452460449886e-01
9.9900  1.882746570383781e-01  5.515412948486272e-01  1.520988999616502e-01  6.997025737095117e-01
10.0000  1.936963556875602e-01  5.327093405416274e-01  1.418896207501478e-01  7.405811274191341e-01
10.0100  1.989270931686684e-01  5.133521992864656e-01  1.317652402561255e-01  7.811197416766187e-01
10.0200  2.039617126075027e-01  4.934889548820677e-01  1.217656742952977e-01  8.211585912109794e-01
10.0300  2.087952504785211e-01  4.731391900838228e-01  1.119303465965879e-01  8.605398210956489e-01
10.0400  2.134229414982752e-01  4.523229672973558e-01  1.022980333723424e-01  8.991081690984726e-01
10.0500  2.178402233234030e-01  4.310608087994237e-01  9.290671044140666e-02  9.367115778098934e-01
10.0600  2.220427410485474e-01  4.093736765054333e-01  8.379340350778759e-02  9.732017941359832e-01
10.0700  2.260263514997659e-01  3.872829513035295e-01  7.499404218518602e-02  1.008434953792787e+00
10.0800  2.297871273191986e-01  3.648104119756268e-01  6.654331834291327e-02  1.042272148497599e+00
10.0900  2.333213608369682e-01  3.419782137261658e-01  5.847454933166955e-02  1.074579973620976e+00
10.1000  2.366255677264936e-01  3.188088663397622e-01  5.081954662842220e-02  1.105231054140368e+00
10.1100  2.396964904396141e-01  2.953252119892837e-01  4.360849041825767e-02  1.134104546821742e+00
10.1200  2.425311014181379e-01  2.715504027162308e-01  3.686981060767355e-02  1.161086616649358e+00
10.1300  2.451266060786486e-01  2.475078776056261e-01  3.063007473842079e-02  1.186070885625326e+00
10.1400  2.474804455676251e-01  2.232213396779125e-01  2.491388324380100e-02  1.208958852169546e+00
10.1500  2.495902992841627e-01  1.987147325206433e-01  1.974377246037540e-02  1.229660279466521e+00
10.1600  2.514540871678042e-01  1.740122166830020e-01  1.514012577746601e-02  1.248093551227976e+00
10.1700  2.530699717492277e-01  1.491381458564246e-01  1.112109327474609e-02  1.264185993468665e+00
10.1800  2.544363599617696e-01  1.241170428648072e-01  7.702520164752199e-03  1.277874161026757e+00
10.1900  2.555519047119950e-01  9.897357548796849e-02  4.897884322436299e-03  1.289104087699182e+00
10.2000  2.564155062077688e-01  7.373253214220382e-02  2.718243148050560e-03  1.297831499005755e+00
10.2100  2.570263130425183e-01  4.841879744190681e-02  1.172189972860201e-03  1.304021986743272e+00
10.2200  2.573837230346165e-01  2.305732766635023e-02  2.658201795567199e-04  1.307651144641359e+00
10.2300  2.574873838210602e-01  -2.326873844185089e-03  2.707170943376346e-06  1.308704664585267e+00
10.2400  2.573371932048576e-01  -2.770878133867825e-02  3.838882816373420e-04  1.307178393026247e+00
10.2500  2.569332992557821e-01  -5.306337132773074e-02  1.407860688332319e-03  1.303078347357099e+00
10.2600  2.562761001643936e-01  -7.836564725369874e-02  3.070587334745570e-03  1.296420692188332e+00
10.2700  2.553662438494704e-01  -1.035906641342742e-01  5.365512847889997e-03  1.287231675618481e+00
10.2800  2.542046273192399e-01  -1.287135531552189e-01  8.283589382920680e-03  1.275547525749822e+00
10.2900  2.527923957870371e-01  -1.537095461880064e-01  1.181331229466143e-02  1.261414307857479e+00
10.3000  2.511309415422626e-01  -1.785540002081986e-01  1.594076549517470e-02  1.244887742775055e+00
10.3100  2.492219025777543e-01  -2.032224215904871e-01  2.064967631855083e-02  1.226032987212792e+00
10.3200  2.470671609749236e-01  -2.276904902564430e-01  2.592147967660968e-02  1.204924376874372e+00
10.3300  2.446688410482521e-01  -2.519340836511717e-01  3.173539125257779e-02  1.181645133385133e+00
10.3400  2.420293072509737e-01  -2.759293005252328e-01  3.806848944417213e-02  1.156287036187147e+00
10.3500  2.391511618440100e-01  -2.996524844983804e-01  4.489580573302605e-02  1.128950060694736e+00
10.3600  2.360372423304565e-01  -3.230802473818903e-01  5.219042312417173e-02  1.099741984136994e+00
10.3700  2.326906186581471e-01  -3.461894922364852e-01  5.992358226747771e-02  1.068777960641320e+00
10.3800  2.291145901930574e-01  -3.689574361431209e-01  6.806479484265256e-02  1.036180067233203e+00
