#  N   Simpon's     Milne     Qags_GSL
#-----------------------------------------
2.195899652409233571148661212646e+00  -1.102779963414307395908053877065e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.206825876031849542613372250344e+00  -1.107177537165908987049078859854e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.217483944213906266185176718864e+00  -1.111464993511940768655676947674e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.227886704613673440888987897779e+00  -1.115656636181721417244716576533e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.238046103128795483172552849283e+00  -1.119736548782607421514967427356e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.247973266361806388147215329809e+00  -1.123734978009503571172444935655e+01  -inf  2.312856185683747511916408257093e+00
2.257678574869184551232592639280e+00  -1.127639055388986477623802784365e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.267171728403013730712700635195e+00  -1.131454354928866479212956619449e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.276461804173244285465216307784e+00  -1.135192598421790499685357644921e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.285557309007773874043323303340e+00  -1.138849999590984118924552603858e+01  -1.505641968122720264489089458948e+01  2.312856185683747511916408257093e+00
2.294466226161592903309838220594e+00  -1.142424593719164782612551789498e+01  -inf  2.312856185683747511916408257093e+00
2.303196057420489051281720094266e+00  -1.145944892329602282643463695422e+01  -1.505641968122720264489089458948e+01  2.312856185683747511916408257093e+00
2.311753861055754200037881673779e+00  -1.149384134711853278076887363568e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.320146286111053779421808940242e+00  -1.152758008148800605852102307836e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.328379603438737621701193347690e+00  -1.156065339683452641850180953043e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.336459733848529563005058662384e+00  -1.159303441201114281966511043720e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.344392273685110605896397828474e+00  -1.162499158191041992438385932473e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.352182518111362696799915283918e+00  -1.165643462512475281300794449635e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.359835482339887935410160935135e+00  -1.168709248053176885662196582416e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.367355921026018883424058003584e+00  -1.171744553036012348457006737590e+01  -1.545435968989924013783365808195e+01  2.312856185683747511916408257093e+00
2.374748346010103983161343421671e+00  -1.174674693799793701032285753172e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.382017042574868348481231805636e+00  -1.177597790292878698892309330404e+01  -inf  2.312856185683747511916408257093e+00
2.389166084364532594008778687567e+00  -1.180473280305871064399525494082e+01  -inf  2.312856185683747511916408257093e+00
2.396199347095736342794225492980e+00  -1.183318340812420466079402103787e+01  -1.575538968556322139136227633571e+01  2.312856185683747511916408257093e+00
2.403120521175817980719102706644e+00  -1.186090747055313165958523313748e+01  -1.527826843084355878943370043999e+01  2.312856185683747511916408257093e+00
2.409933123331294613223008127534e+00  -1.188821693438457138825015135808e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
2.416640507338280841054256597999e+00  -1.191528359110646384522169682896e+01  -1.515332969423525888430503982818e+01  2.312856185683747511916408257093e+00
